Title,Name,Type.of.name,Role,All.names,Dates.associated.with.name,Date.of.publication ,Country.of.publication,Place.of.publication,City,Colony.Name,Continent,Publisher,Edition,Languages,Type.of.resource,Content.type,Material type,Uniform title,﻿BL.record.ID,URL,BL shelfmark,ARK,,
"The Expedition to Borneo of H.M.S. Dido for the suppression of Piracy; with extracts from the Journal of J. Brooke Esq, of Sarawak","Keppel, Henry",person,N/A,"Brooke, James, Sir, K.C.B., Rajah of Sarawak [person] ; Keppel, Henry, Honourable Sir, g.c.b [person]",N/A,1846,England,London,Unspecified,Borneo,Asia,Chapman & Hall,N/A,English,Monograph,Text,Online resource,,014815014,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005223C,Digital Store 1425.h.7,ark:/81055/vdc_00000005223C,N/A,N/A
The Expedition to Borneo of H.M.S. Dido,"Keppel, Henry",person,N/A,"Keppel, Henry, Honourable Sir, g.c.b [person]",N/A,1846,England,London,Unspecified,Borneo,Asia,Chapman & Hall,N/A,English,Monograph,Text,Online resource,N/A,014815016,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005225A,Digital Store 1425.h.13,ark:/81055/vdc_00000005225A,N/A,N/A
Notes on the Earthquake of the 29th April 1864 in the North-Western part of the Bombay Presidency,"Kennelly, D. J.",person,N/A,"Kennelly, D. J., f.r.g.s [person]",N/A,1864,India,Bombay,Bombay,India,Asia,N/A,N/A,English,Monograph,Text,Online resource,N/A,014796288,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005E698,Digital Store 7104.b.27,ark:/81055/vdc_00000005E698,N/A,N/A
"Notes on the Battle of Waterloo. By the late General Sir J. S. K. ... With a brief memoir of his life and services, and plan for the defence of Canada","Kennedy, James Shaw",person,N/A,"Kennedy, James Shaw [person]",N/A,1865,England,London,Unspecified,Canada,America,N/A,N/A,English,Monograph,Text,Online resource,N/A,014905300,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001EA32,Digital Store 9220.ee.13,ark:/81055/vdc_00000001EA32,N/A,N/A
"Kennedy at the Cape, a professional tour through Cape Colony, the Orange Free State, the Diamond Fields, & Natal. A section of 'Singing round the World.'","Kennedy, David",person,vocalist,"Kennedy, David, Vocalist, the Younger [person]",N/A,1879,Scotland,Edinburgh,Unspecified,Cape of Good Hope,Africa,N/A,N/A,English,Monograph,Text,Online resource,N/A,014814966,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005A276,Digital Store 10097.aaa.18,ark:/81055/vdc_00000005A276,N/A,N/A
Life in Java: with sketches of the Javanese,"D'Almeida, William Barrington",person,N/A,"D'Almeida, William Barrington [person]",N/A,1864,England,London,Unspecified,Java,Asia,Hurst & Blackett,N/A,English,Monograph,Text,Online resource,N/A,014808573,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000003502E,Digital Store 10057.cc.36,ark:/81055/vdc_00000003502E,N/A,N/A
Geschichte Nassau's von der Reformation bis zum Anfang des 30jährigen Krieges,"Keller, E. F.",person,N/A,"Keller, E. F. [person]",N/A,1864,Germany,Wiesbaden,Nassau,Bahamas,America,N/A,N/A,German,Monograph,Text,Online resource,N/A,014912442,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000001FC3E,Digital Store 9365.ee.4,ark:/81055/vdc_00000001FC3E,N/A,N/A
"Eighteen Years on the Gold Coast of Africa, including an account of the native tribes, and their intercourse with Europeans","Cruickshank, Brodie",person,N/A,"Cruickshank, Brodie [person]",N/A,1853,England,London,Unspecified,Gold Coast,Africa,Hurst & Blackett,N/A,English,Monograph,Text,Online resource,N/A,014808395,http://access.bl.uk/item/viewer/ark:/81055/vdc_000000059E6E,Digital Store 10095.c.23,ark:/81055/vdc_000000059E6E,N/A,N/A
"A Voyage to South America and the Cape of Good Hope in His Majesty's Brig Protector. (Appendix containing official documents relative to the capture of the Cape of Good Hope, etc.)","Keith, George Mouat",person,N/A,"Keith, George Mouat, Sir, Baronet [person]",#NAME?,1819,England,London,Unspecified,Cape of Good Hope,Africa,N/A,N/A,English,Monograph,Text,Online resource,N/A,014814885,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000005420A,Digital Store 10027.k.3,ark:/81055/vdc_00000005420A,N/A,N/A
Henry Ancrum. A tale of the last War in New Zealand. ,K. J. H.,person,N/A,"K, J. H. [person] ; Kirby, Joshua Henry [person] ; Ancrum, Henry [person]",#NAME?,1872,England,London,Unspecified,New Zealand,Oceania,N/A,N/A,English,Monograph,Text,Online resource,N/A,014814803,http://access.bl.uk/item/viewer/ark:/81055/vdc_00000004CEEA,Digital Store 12637.g.10,ark:/81055/vdc_00000004CEEA,N/A,N/A
